Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1094,2064,47%,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1447,2730,47%,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1277,2409,47%,На складе
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,5851,11040,47%,Ограничено
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,549,1035,47%,На складе
Эффективная работа с унаследованным кодом,Физерс Майкл К.,Вильямс,3776,7125,47%,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс Российский компьютерный бестселлер,760,1041,27%,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1025,1934,47%,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,957,1806,47%,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,615,1161,47%,Ограничено
10 практических устройств на AVR-микроконтроллерах. Книга 1 (+CD),Кравченко Алексей Владимирович,Корона-Принт,345,650,47%,На складе
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика Для ""чайников""",2107,3976,47%,Ограничено
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1162,2192,47%,На складе
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,957,1806,47%,На складе
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век Программируемые системы,615,1161,47%,На складе
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс САПР от А до Я,483,911,47%,На складе
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,483,911,47%,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс Все о LabVIEW,483,911,47%,На складе
Dart в действии,Баккет Крис,ДМК-Пресс,1094,2064,47%,Ограничено
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,1367,2580,47%,На складе
Параллельное и конкурентное программирование на Haskell,Марлоу Саймон,ДМК-Пресс Функциональное программирование,1094,2064,47%,На складе
Практическое использование Common Lisp,Сайбель Питер,ДМК-Пресс Функциональное программирование,1230,2321,47%,На складе
Веб-разработка. Исчерпывающее руководство,Макдональд Мэтью,Питер Бестселлеры O`Reilly,1618,2074,22%,Ограничено
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,887,1674,47%,На складе
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,957,1806,47%,На складе
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1094,2064,47%,На складе
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,1504,2837,47%,На складе
Программирование и отладка С/С++ приложений для микроконтроллеров ARM,Магда Юрий Степанович,ДМК-Пресс,483,911,47%,На складе
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ,Мэйерс Скотт,ДМК-Пресс Профессиональная серия от Addison-Wesley,683,1289,47%,На складе
Лямбда-выражения в Java 8. Функциональное программирование - в массы,Уорбэртон Ричард,ДМК-Пресс Функциональное программирование,549,1035,47%,На складе
Системная инженерия. Принципы и практика,Косяков Александр и др.,ДМК-Пресс,1367,2580,47%,На складе
Оптимизация приложений на платформе .Net,Голдштейн Саша и др.,ДМК-Пресс,1230,2321,47%,На складе
Интерфейс. Основы проектирования взаимодействия,Купер Алан и др.,Питер Для профессионалов,2049,2627,22%,На складе
Аналоговые интерфейсы микроконтроллеров,Болл Стюарт Р.,Додека XXI век Программируемые системы,820,1547,47%,На складе
Практическое использование Vim. Редактируйте текст со скоростью мысли,Нейл Дрю,ДМК-Пресс,957,1806,47%,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,549,1035,47%,Ограничено
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,957,1806,47%,На складе
Изучай Haskell во имя добра!,Липовача Миран,ДМК-Пресс,1025,1934,47%,На складе
Matlab & Simulink. Проектирование мехатронных систем на ПК. Учебное пособие для ВУЗов + CD,Герман-Галкин Сергей Германович,Корона-Принт Учебное пособие,443,836,47%,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 2 (+CD),Кравченко Алексей Владимирович,Корона-Принт,345,650,47%,На складе
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,1640,3095,47%,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер Бестселлеры O`Reilly,1343,1722,22%,Ограничено
"Программирование микроконтроллеров для начинающих. Визуальное проектирование, язык С, ассемблер(+CD)",Иванов Всеволод Борисович,Корона-Принт,444,837,47%,Ограничено
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2051,3869,47%,На складе
Современное программирование с нуля!,Потопахин Виталий Валерьевич,ДМК-Пресс Учебное пособие,483,911,47%,На складе
Программирование на языке Lua,Иерузалимски Роберту,ДМК-Пресс,887,1674,47%,На складе
Android NDK. Руководство для начинающих,Ретабоуил Сильвен,ДМК-Пресс,962,1816,47%,На складе
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета,Митчелл Райан,ДМК-Пресс,887,1674,47%,На складе
PIC-микроконтроллеры: архитектура и программирование,Предко Майкл,ДМК-Пресс,820,1547,47%,На складе
Моделирование антенных устройств в Matlab с использованием пакета расширения Antenna Toolbox,Типикин А. А.,Солон-пресс,328,619,47%,На складе
Управление электронными устройствами на С++. Разработка практических приложений,"Катупития Янта, Бентли Ким",ДМК-Пресс,957,1806,47%,На складе
C# 6.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Вильямс,3481,6567,47%,Ограничено
Swift. Карманный справочник. Программирование в среде iOS и ОS X,Грей Энтони,Вильямс,553,1044,47%,Ограничено
LabVIEW: стиль программирования,Блюм Питер,ДМК-Пресс LabVIEW,615,1161,47%,На складе
Искусство автономного тестирования с примерами на С#,Ошероув Рой,ДМК-Пресс,1094,2064,47%,На складе
Графовые базы данных. Новые возможности для работы,Робинсон Ян и др.,ДМК-Пресс,887,1674,47%,На складе
Руководство по микропроцессорному обеспечению,,ДМК-Пресс,957,1806,47%,Ограничено
Чисто функциональные структуры данных,Окасаки Крис,ДМК-Пресс,820,1547,47%,На складе
Программирование компьютерного зрения на языке Python,Солем Ян Эрик,ДМК-Пресс,957,1806,47%,На складе
"Периферийные устройства: интерфейсы, схемотехника, программирование",Авдеев Вадим Александрович,ДМК-Пресс Все о радиоэлектронике,1230,2321,47%,На складе
R в действии. Анализ и визуализация данных на языке R,Кабаков Роберт И.,ДМК-Пресс,1094,2064,47%,На складе
Анализ больших наборов данных,Лесковец Юре и др.,ДМК-Пресс,1828,3449,47%,На складе
Построение компиляторов,Вирт Никлаус,ДМК-Пресс,549,1035,47%,На складе
Современный PHP. Новые возможности и передовой опыт,Локхарт Джош,ДМК-Пресс,887,1674,47%,Ограничено
MATLAB. Теория и практика,Гилат Амос,ДМК-Пресс,1094,2064,47%,На складе
Параллельное программирование на С++ в действии. Практика разработки многопоточных программ,Уильямс Энтони,ДМК-Пресс,1367,2580,47%,На складе
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ,Мейерс Скотт,ДМК-Пресс Для программистов,683,1289,47%,На складе
Введение в надежное и безопасное распределенное программирование,Качина Кристиан и др.,ДМК-Пресс,1524,2875,47%,На складе
C# 6.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Вильямс,553,1044,47%,На складе
Python. К вершинам мастерства,Рамальо Лучано,ДМК-Пресс,1367,2580,47%,На складе
Введение в ECMAScript 6,Прасти Нараян,ДМК-Пресс,683,1289,47%,Ограничено
Программирование для Windows на С/С++. В 2-х томах. Том 2,Мартынов Николай Николаевич,Бином,212,400,47%,На складе
Программирование мобильных устройств на платформе .Net Compact Framework,Самре Иво,Вильямс,707,1334,47%,Ограничено
"Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK",Марк Дэйв и др.,Вильямс,1374,2592,47%,На складе
Silverlight 5 с примерами на C# для профессионалов,Мак-Дональд Мэтью,Вильямс,1649,3112,47%,На складе
Java EE 7. Основы,Гупта Арун,Вильямс,825,1556,47%,На складе
Joomla! Для профессионалов,Рамел Дэн,Вильямс,1374,2592,47%,На складе
Microsoft Exchange Server 2013. Полное руководство,Моримото Рэнд и др.,Вильямс,3030,5717,47%,Ограничено
WinRT. программирование на C# для профессионалов,"Рихтер Джеффри, ван де Боспурт Мартен",Вильямс,1374,2592,47%,На складе
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ,Лонг Фрэд и др.,Вильямс,809,1526,47%,Ограничено
Drupal 7. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,285,538,47%,На складе
Joomla 2.5. Руководство пользователя,Колисниченко Денис Николаевич,Диалектика,463,873,47%,Ограничено
C# 5.0 и платформа .NET 4.5 для профессионалов,Глинн Джей и др.,Диалектика,2107,3976,47%,Ограничено
Python на практике,Саммерфилд Марк,ДМК-Пресс Профессиональная серия программиста,820,1547,47%,На складе
Линейное программирование. Руководство к решению задач,Лунгу Константин Никитович,Физматлит,200,378,47%,Ограничено
Поисковая адаптация. Теория и практика,Курейчик Виктор Михайлович и др.,Физматлит Информационные и компьютерные технологии,489,922,47%,Ограничено
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование,"Соколов Александр Валерьевич, Токарев Владислав Васильевич",Физматлит,1197,2259,47%,Ограничено
Компьютерное моделирование логических процессов. Архитектура и язык решателя задач,Подколзин Александр Сергеевич,Физматлит,1263,2383,47%,Ограничено
Дизайн и эволюция языка С++,Страуструп Бьерн,ДМК-Пресс Для программистов,751,1417,47%,На складе
Программирование в Delphi. Учебник по классическим версиям Delphi (+CD),Архангельский Алексей Яковлевич,Бином,776,1465,47%,Ограничено
Обработка естественного языка на Java,Риз Ричард,ДМК-Пресс,957,1806,47%,На складе
Алгоритмы и структуры данных. Новая версия для Оберона,Вирт Никлаус,ДМК-Пресс Классика программирования,615,1161,47%,На складе
Искусство поиска решения в нестандартной задаче,Потопахин Виталий Валерьевич,ДМК-Пресс Прикладное программирование,415,783,47%,На складе
Программирование на Python для начинающих,МакГрат Майк,Эксмо-Пресс Программирование для начинающих,673,922,27%,На складе
Применение Web-стандартов. CSS и Ajax для больших сайтов,Шмитт Кристофер и др.,Корона-Принт,215,405,47%,На складе
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE,Пьявченко Тамила Алексеевна,Лань Учебники для вузов. Специальная литература,1340,2528,47%,На складе
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход,Гэртнер Маркус,ДМК-Пресс,751,1417,47%,На складе
Читаем Тьюринга. Путешествие по исторической статье Тьюринга о вычислимости и машинах Тьюринга,Петцольд Чарльз,ДМК-Пресс Классика программирования,1094,2064,47%,На складе
Шейдеры и эффекты в Unity. Книга рецептов,Ламмерс Кенни,ДМК-Пресс,751,1417,47%,На складе
JavaScript и jQuery. Исчерпывающее руководство,Макфарланд Дэвид,Эксмо Мировой компьютерный бестселлер,1731,2371,27%,На складе
MUMPS СУБД. Практика применения и опыт программирования,Каратаев Евгений Анатольевич,Солон-пресс Библиотека профессионала,1061,2002,47%,Ограничено
Полезное программирование. Уникальное руководство,Комлев Николай Юрьевич,Солон-пресс Библиотека профессионала,717,1353,47%,На складе
Visual FoxPro 9.0. Учебный курс,,Корона-Принт,438,827,47%,На складе
MATLAB и SIMULINK для радиоинженеров,Дьяконов Владимир Павлович,ДМК-Пресс Математика и Matlab,1778,3354,47%,На складе
Справочник по языку Haskell,Душкин Роман Викторович,ДМК-Пресс,887,1674,47%,На складе
Java EE 7 и сервер приложений GlassFish 4,Хеффельфингер Дэвид,ДМК-Пресс,832,1570,47%,Ограничено
Программирование на ассемблере на платформе x86-64,Аблязов Руслан Зуфярович,ДМК-Пресс,615,1161,47%,На складе
Семантический веб,Антониоу Григорис и др.,ДМК-Пресс,820,1547,47%,На складе
Программирование на языке Go. Разработка приложений XXI века,Саммерфильд Марк,ДМК-Пресс Профессиональное программирование,1230,2321,47%,На складе
Разработка программного обеспечения: управление изменениями,"Белладжио Дэвид, Миллиган Том",ДМК-Пресс,597,1126,47%,Ограничено
От математики к обобщенному программированию,"Степанов Александр, Роуз Дэниэл Э.",ДМК-Пресс,820,1547,47%,На складе
Изучаем программирование на JavaScript,"Фримен Эрик, Робсон Элизабет",Питер Head First (O'Reilly),2375,3045,22%,На складе
Путь Ruby,"Фултон Хэл, Арко Андрэ",ДМК-Пресс Профессиональная серия программиста,1367,2580,47%,На складе
Программирование на Objective-C,Кочан Стивен,Эком Библиотека разработчика,1368,2582,47%,Ограничено
Изучаем Spark,Карау Холден и др.,ДМК-Пресс,887,1674,47%,На складе
Статистический анализ и визуализация данных с помощью R,"Мастицкий Сергей Эдуардович, Шитиков Владимир",ДМК-Пресс,1094,2064,47%,Ограничено
LLVM. Инфраструктура для разработки компиляторов,"Кардос Лопес Бруно, Аулер Рафаэль",ДМК-Пресс,887,1674,47%,На складе
OpenGL ES 3.0. Руководство разработчика,"Гинсбург Дэн, Пурномо Будирижанто",ДМК-Пресс,1230,2321,47%,На складе
Современный Фортран на практике,Маркус Арьен,ДМК-Пресс,820,1547,47%,Ограничено
Elastix - общайтесь свободно!,Юров Владислав,Эком,829,1565,47%,Ограничено
Постреляционная СУБД Cache 5. Объектно-ориентированная разработка приложений (+CD),Кирстен Вольфганг и др.,Бином,443,836,47%,На складе
Квантовые вычисления и функциональное программирование,Душкин Роман Викторович,ДМК-Пресс,483,911,47%,На складе
Создание облачных и мобильных приложений на языке F#,Мол Дэниел,ДМК-Пресс Функциональное программирование,549,1035,47%,На складе
"Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца",Максфилд Клайв,ДМК-Пресс Программируемые системы,820,1547,47%,На складе
Программирование микроконтроллеров ATMEL на языке C (+CD),Прокопенко Вадим Сергеевич,Корона-Принт,832,1570,47%,На складе
Семь моделей конкуренции и параллелизма за семь недель,Батчер Пол,ДМК-Пресс,957,1806,47%,На складе
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla,Волков Владимир Юрьевич,Лань,838,1582,47%,На складе
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.,Клейн Тобиас,ДМК-Пресс,683,1289,47%,На складе
Введение в UML от создателей языка,Рамбо Джеймс и др.,ДМК-Пресс Классика программирования,820,1547,47%,На складе
Технологии программирования на Java 2. Распределенные приложения,Дейтел Харви и др.,Бином,553,1044,47%,На складе
Silverlight 4. Создание насыщенных Web-приложений,Байдачный Сергей Сергеевич,Солон-пресс Библиотека профессионала,369,697,47%,На складе
EJB 3 в действии,Панда Дебу и др.,ДМК-Пресс Программирование в действии,1367,2580,47%,На складе
Программирование на Java,"Нимейер Патрик, Леук Дэниэл",Эксмо Мировой компьютерный бестселлер,1935,2650,27%,Ограничено
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell,Бёрд Ричард,ДМК-Пресс,820,1547,47%,На складе
Асинхронное программирование в C# 5.0,Дэвис Алекс,ДМК-Пресс,350,660,47%,На складе
"Программирование в Delphi для Windows: Версии 2006, 2007, Turbo Delphi (+СD)",Архангельский Алексей Яковлевич,Бином,1109,2092,47%,На складе
Практика программирования на языке Паскаль. Задачи и решения,Медведик Владимир Иванович,ДМК-Пресс,957,1806,47%,На складе
Методы обработки и распознавания изображений лиц в задачах биометрии,Кухарев Георгий Александрович и др.,Политехника,642,1212,47%,На складе
Эффективные технологии создания информационных систем,"Мещеряков Сергей Владимирович, Иванов Владимир Михайлович",Политехника,359,677,47%,На складе
Введение в теорию языков программирования,"Довек Жиль, Леви Жан-Жак",ДМК-Пресс,415,783,47%,Ограничено
Spring в действии,Уоллс Крейг,ДМК-Пресс Программирование в действии,1367,2580,47%,На складе
Программирование на языке OCaml,Мински Ярон и др.,ДМК-Пресс Функциональное программирование,1367,2580,47%,На складе
CUDA Fortran для инженеров и научных работников. Рекомендации по эффективному программированию,"Рутш Грегори, Фатика Массимилиано",ДМК-Пресс,820,1547,47%,На складе
Платформа Windows Azure,"Редкар Теджасви, Тони Гвидичи",ДМК-Пресс,1094,2064,47%,Ограничено
"За пределами ""Linux с нуля"". Версия 7.4. Том 2",,ДМК-Пресс,1094,2064,47%,На складе
Расширение библиотеки jQuery,Вуд Кит,ДМК-Пресс,713,1345,47%,Ограничено
.NET Сетевое программирование,Кумар Винод и др.,Лори,832,1570,47%,На складе
Java. Эффективное программирование,Блох Джошуа,Лори,880,1661,47%,На складе
Разработка веб-приложений с использованием AngularJS,"Козловский Павел, Бэкон Дарвин Питер",ДМК-Пресс,887,1674,47%,На складе
Zend Framework 2.0 разработка веб-приложений,Шасанкар Кришна,Питер Библиотека программиста,439,563,22%,Ограничено
Основы теории вейвлетов. Вейвлеты в MATLAB,Смоленцев Николай Константинович,ДМК-Пресс Математика и Matlab,927,1749,47%,Ограничено
LabVIEW. Практический курс для инженеров и разработчиков,Магда Юрий Степанович,ДМК-Пресс Все о LabVIEW,415,783,47%,На складе
Программирование для школьников и студентов. Учебное пособие,"Колесов Вадим Владимирович, Романов Максим Николаевич",Феникс Абитуриент,202,259,22%,На складе
"Принципы построения, применения и проектирования компьютерной платформы U-SYS","Росляков Александр Владимирович, Крылов Павел Сергеевич",Солон-пресс Библиотека студента,241,455,47%,На складе
Разработка приложений Java EE 6 в NetBeans 7,Хеффельфингер Дэвид,ДМК-Пресс,820,1547,47%,Ограничено
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум,Санников Е. В.,Солон-пресс Элективный курс. Профильное обучение,574,1083,47%,На складе
Оптимизация производительности приложений для iOS. Для профессионалов,Во Ханг,ДМК-Пресс,654,1234,47%,Ограничено
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5,"Тэрнер Кирби, Харрингтон Том",ДМК-Пресс,856,1615,47%,Ограничено
Программирование на алгоритмическом языке КуМир,"Анеликова Людмила Александровна, Гусева Ольга Борисовна",Солон-пресс Элективный курс. Профильное обучение,218,411,47%,На складе
Создание web-приложений в Silverlight,Буньон Лоран,ДМК-Пресс,594,1120,47%,На складе
С++ для начинающих,Шилдт Герберт,Эком Шаг за шагом,738,1392,47%,На складе
Профессиональное программирование приложений для iPhone и iPad,Баклин Джин,Эксмо Мировой компьютерный бестселлер,1010,1384,27%,На складе
Silverlight. Практическое руководство,Браун Пит,Питер,1281,1642,22%,На складе
PHP. Создание динамических страниц,Пауэрс Дэвид,Рид Групп Веб-технологии,1135,1555,27%,На складе
Изучаем Java,"Сьерра Кэтти, Бейтс Берт",Эксмо Мировой компьютерный бестселлер,1558,2134,27%,На складе
10 практических устройств на AVR-микроконтроллерах. Книга 3 (+DVD),Кравченко Алексей Владимирович,Корона-Принт,553,1044,47%,Ограничено
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD),Радченко Максим Григорьевич,1С 1С: Предприятие 8.2,222,419,47%,На складе
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)","Бояркин В.Э., Филатов А. И.",1С 1С: Предприятие 8,216,407,47%,На складе
"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)",Ажеронок Валентин Александрович,1С 1С: Предприятие 8.2,216,407,47%,На складе
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов,Гультяев Алексей Константинович,Корона-Принт,259,489,47%,На складе
Микрокомпьютерные системы управления. Первое знакомство,Суэмацу Есикадзу,Додека XXI век,549,1035,47%,Ограничено
Silverlight 2. Технология создания интернет-приложений,Буньон Лоран,ДМК-Пресс,477,900,47%,Ограничено
