Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
C#. Программирование 2D и 3D векторной графики (+CD). СПО,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань Компьютеры и программное обеспечение,1671,3152,47%,На складе
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань Компьютеры и программное обеспечение,1186,2237,47%,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань Компьютеры и программное обеспечение,1321,2492,47%,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань Компьютеры и программное обеспечение,1244,2348,47%,Ограничено
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,792,1494,47%,На складе
Простой Python для опытных программистов,Гаско Рик,Солон-пресс Программирование,684,1290,47%,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,2325,4386,47%,На складе
Программируй & типизируй,Ришкуция Влад,Питер Библиотека программиста,2051,2630,22%,На складе
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1234,1691,27%,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Ю. Н., Александров А. Г.",ДМК-Пресс,415,783,47%,На складе
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань Компьютеры и программное обеспечение,1005,1896,47%,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань Компьютеры и программное обеспечение,1035,1953,47%,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер Для профессионалов,2285,2930,22%,На складе
C# 8 и .NET Core. Разработка и оптимизация,Прайс Марк Дж.,Питер Для профессионалов,3168,4062,22%,На складе
Разработка базы данных в Access. Учебное пособие,Волик Мария Владимировна,Прометей,285,537,47%,На складе
Основы программирования на языке С. Учебное пособие,"Гагарина Лариса Геннадьевна, Дорогова Екатерина Георгиевна",ИНФРА-М Высшее образование. Бакалавриат,1361,2567,47%,На складе
Java. Быстрый старт,Чан Джейми,Питер Библиотека программиста,931,1193,22%,Ограничено
Python. Быстрый старт,Чан Джейми,Питер Библиотека программиста,931,1193,22%,На складе
C++ для профи,Лоспинозо Джош,Питер Для профессионалов,2986,3828,22%,На складе
Интеллектуальные информационные системы и методы искусственного интеллекта,"Андрейчиков Александр Валентинович, Андрейчикова Ольга Николаевна",ИНФРА-М Высшее образование. Магистратура,3113,5873,47%,На складе
Современный скрапинг веб-сайтов с помощью Python,Митчелл Райан,Питер Бестселлеры O`Reilly,2044,2621,22%,На складе
Инструментальные средства разработки программного обеспечения Системы Fossil,Орещенков Игорь Сергеевич,Лань Компьютеры и программное обеспечение,1370,2585,47%,На складе
"Эффективный Java. Тюнинг кода на Java 8, 11 и дальше",Оукс Скотт,Питер Бестселлеры O`Reilly,2971,3809,22%,На складе
Веб-разработка с применением Node и Express. Полноценное использование стека JavaScript,Браун Итан,Питер Бестселлеры O`Reilly,1886,2418,22%,На складе
gRPC. Запуск и эксплуатация облачных приложений. Go и Java для Docker и Kubernetes,"Индрасири Касун, Курупу Данеш",Питер Бестселлеры O`Reilly,1572,2016,22%,На складе
Python. Сборник упражнений,Стивенсон Бен,ДМК-Пресс,820,1547,47%,На складе
Совершенный алгоритм. Алгоритмы для NP-трудных задач,Рафгарден Тим,Питер Библиотека программиста,1729,2217,22%,На складе
"Стильный Java. Код, который работает всегда и везде",Фаэлла Марко,Питер Библиотека программиста,2225,2853,22%,На складе
Внедрение зависимостей на платформе .NET,"Симан Марк, Дерсен Стивен Ван",Питер Для профессионалов,2971,3809,22%,На складе
Карьера программиста,Лакман Макдауэлл Гейл,Питер Библиотека программиста,1947,2496,22%,На складе
Глубокое обучение. Легкая разработка проектов на Python,Вейдман Сет,Питер Бестселлеры O`Reilly,2657,3406,22%,На складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер Для профессионалов,3069,3934,22%,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань Компьютеры и программное обеспечение,844,1592,47%,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань Компьютеры и программное обеспечение,2587,4882,47%,На складе
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань Компьютеры и программное обеспечение,1554,2933,47%,На складе
Разработка приложений на Swift 5.1 и SwiftUI с нуля,Казанский Александр Анатольевич,BHV С нуля,646,1218,47%,Ограничено
Изучаем C++ через программирование игр,Доусон Майкл,Питер,999,1281,22%,На складе
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер Для профессионалов,2028,2600,22%,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,2325,4386,47%,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1367,2580,47%,На складе
Секреты Python Pro,Хиллард Дейн,Питер Для профессионалов,2185,2801,22%,На складе
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора Российский компьютерный бестселлер,1161,1590,27%,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус Магистратура,833,1572,47%,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1367,2580,47%,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,4122,7778,47%,На складе
Проектирование информационных систем. Основы управления проектами. СПО,"Баллод Борис Анатольевич, Гвоздева Татьяна Вадимовна",Лань Компьютеры и программное обеспечение,453,854,47%,Ограничено
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань Компьютеры и программное обеспечение,838,1582,47%,Ограничено
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань Компьютеры и программное обеспечение,894,1686,47%,На складе
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань Компьютеры и программное обеспечение,1101,2077,47%,На складе
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань Компьютеры и программное обеспечение,1711,3228,47%,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань Компьютеры и программное обеспечение,1062,2003,47%,На складе
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань Компьютеры и программное обеспечение,1554,2933,47%,Ограничено
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань Компьютеры и программное обеспечение,2345,4425,47%,Ограничено
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер Библиотека программиста,1809,2319,22%,На складе
Система модулей Java,Парлог Николай,Питер Для профессионалов,2342,3003,22%,Ограничено
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,1075,2028,47%,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер Для профессионалов,5001,6411,22%,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер Для профессионалов,1243,1593,22%,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер Бестселлеры O`Reilly,1870,2398,22%,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1094,2064,47%,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1299,2450,47%,На складе
